elevation,geology,landuse,rainfall,slope,soil_clay,.geo
809,1,10,4.612339019775391,13.500585556030272,23,"{""type"":""Point"",""coordinates"":[85.5715101639959,27.798826284982713]}"
1881,4,10,4.684384346008301,8.542787551879883,24,"{""type"":""Point"",""coordinates"":[85.4387457369841,27.771603646728323]}"
1832,4,10,4.699357032775879,17.773983001708984,27,"{""type"":""Point"",""coordinates"":[85.21164420285692,27.608000744263997]}"
1315,1,50,4.29325008392334,2.1295785903930664,22,"{""type"":""Point"",""coordinates"":[85.32558381625023,27.748328422499302]}"
1219,1,40,4.576202392578125,6.392988204956055,24,"{""type"":""Point"",""coordinates"":[85.20674912912344,27.728240287426466]}"
544,1,30,3.583014726638794,22.53473854064941,27,"{""type"":""Point"",""coordinates"":[85.12183250734233,27.87991226410847]}"
1799,4,10,4.796142101287842,12.392237663269045,27,"{""type"":""Point"",""coordinates"":[85.1147573556502,27.651939069085902]}"
980,1,40,4.547289371490479,21.8157958984375,27,"{""type"":""Point"",""coordinates"":[85.53502583054163,27.797781472507562]}"
1082,1,30,5.165729999542236,22.548490524291992,25,"{""type"":""Point"",""coordinates"":[85.53829071153348,27.86451046151285]}"
1357,2,30,4.618951320648193,3.6456758975982666,25,"{""type"":""Point"",""coordinates"":[85.3486657844845,27.75384451198878]}"
1694,4,10,3.501748561859131,25.28470230102539,26,"{""type"":""Point"",""coordinates"":[85.55612257305334,27.6962789877549]}"
2395,4,10,4.61355447769165,24.06657600402832,20,"{""type"":""Point"",""coordinates"":[85.39575175487434,27.806909534357505]}"
1410,2,10,4.243783473968506,20.365636825561523,23,"{""type"":""Point"",""coordinates"":[85.41371536165943,27.658273855040985]}"
1341,1,50,4.280627250671387,2.796142101287842,30,"{""type"":""Point"",""coordinates"":[85.38966289759888,27.706027385839615]}"
1476,2,10,4.49566125869751,37.79499816894531,26,"{""type"":""Point"",""coordinates"":[85.38417555445353,27.875071708244867]}"
1417,2,10,5.316385269165039,22.20208740234375,23,"{""type"":""Point"",""coordinates"":[85.55705911468195,27.898875979708887]}"
907,1,10,4.246232509613037,23.508129119873047,26,"{""type"":""Point"",""coordinates"":[85.20703187208358,27.849351775958834]}"
1426,2,30,3.501748561859131,24.411134719848636,25,"{""type"":""Point"",""coordinates"":[85.56441460837421,27.669839828406257]}"
1339,1,40,4.243783473968506,1.854334115982056,28,"{""type"":""Point"",""coordinates"":[85.40950287870753,27.69371317928414]}"
1397,2,50,4.612148761749268,1.048094630241394,23,"{""type"":""Point"",""coordinates"":[85.35600765075051,27.769148278419753]}"
816,1,10,3.583014726638794,23.72894287109375,26,"{""type"":""Point"",""coordinates"":[85.10271287420993,27.892188972828688]}"
1366,2,40,3.75677752494812,11.658697128295898,26,"{""type"":""Point"",""coordinates"":[85.26215160268794,27.672523370709875]}"
712,1,10,4.432165145874023,19.96623039245605,25,"{""type"":""Point"",""coordinates"":[85.31548921706282,27.86000379399597]}"
757,1,10,4.432165145874023,8.28909969329834,23,"{""type"":""Point"",""coordinates"":[85.31952488157202,27.857417144046025]}"
1896,4,10,3.942606925964356,38.30467987060547,26,"{""type"":""Point"",""coordinates"":[85.25249870464204,27.63768388950341]}"
2285,4,10,4.579485893249512,42.21711730957031,28,"{""type"":""Point"",""coordinates"":[85.1601250822695,27.66999603312848]}"
1595,3,10,4.891516208648682,20.976882934570312,24,"{""type"":""Point"",""coordinates"":[85.46942441166924,27.819749064568672]}"
1369,2,40,4.195834636688232,2.1295483112335205,26,"{""type"":""Point"",""coordinates"":[85.43928741853627,27.742086095521806]}"
1689,4,10,3.569990634918213,15.06227207183838,29,"{""type"":""Point"",""coordinates"":[85.51414962150183,27.607443363227343]}"
1339,1,50,4.186050415039063,1.854334115982056,23,"{""type"":""Point"",""coordinates"":[85.29487377804337,27.73828796187787]}"
2346,4,10,4.579485893249512,20.13819694519043,27,"{""type"":""Point"",""coordinates"":[85.18310337452041,27.681442685755943]}"
1320,1,50,3.40421199798584,3.272547721862793,22,"{""type"":""Point"",""coordinates"":[85.31248718773577,27.680489535777017]}"
1327,1,50,4.588297367095947,9.70147705078125,24,"{""type"":""Point"",""coordinates"":[85.55758476677524,27.72560180386793]}"
1398,2,50,4.1896796226501465,2.7957956790924072,23,"{""type"":""Point"",""coordinates"":[85.24427949367787,27.6816861592785]}"
1695,4,40,3.569990634918213,13.347955703735352,26,"{""type"":""Point"",""coordinates"":[85.51505918717451,27.607489943976574]}"
937,1,40,4.78480863571167,18.881166458129883,26,"{""type"":""Point"",""coordinates"":[85.18139148558743,27.7766511042149]}"
1949,4,10,4.186050415039063,36.51529693603516,24,"{""type"":""Point"",""coordinates"":[85.2608637593144,27.748548039419486]}"
1814,4,10,3.968759536743164,36.10874176025391,25,"{""type"":""Point"",""coordinates"":[85.42464363308245,27.623946613530343]}"
1736,4,10,5.143680095672607,22.610614776611328,25,"{""type"":""Point"",""coordinates"":[85.17477825786676,27.63851817481442]}"
1081,1,40,3.501748561859131,15.35799789428711,26,"{""type"":""Point"",""coordinates"":[85.58984077813604,27.677869124005298]}"
2086,4,10,4.579485893249512,28.958871841430664,26,"{""type"":""Point"",""coordinates"":[85.1677699336711,27.6715685041534]}"
1614,3,10,4.850409507751465,22.89578437805176,23,"{""type"":""Point"",""coordinates"":[85.44413673666901,27.849557761582275]}"
969,1,40,4.030216693878174,21.30171203613281,25,"{""type"":""Point"",""coordinates"":[85.25482825348215,27.858297735865406]}"
1683,4,10,4.456511497497559,24.41805458068848,28,"{""type"":""Point"",""coordinates"":[85.45390387687434,27.60414327772341]}"
617,1,10,4.045770645141602,17.545387268066406,28,"{""type"":""Point"",""coordinates"":[85.22511213587183,27.87424992777922]}"
1582,3,10,5.165729999542236,22.124853134155277,25,"{""type"":""Point"",""coordinates"":[85.50321278607957,27.851212308059996]}"
2313,4,10,4.736819744110107,11.303936004638672,25,"{""type"":""Point"",""coordinates"":[85.47943309098129,27.780835441179722]}"
2066,4,10,4.699357032775879,19.22395133972168,27,"{""type"":""Point"",""coordinates"":[85.21912091995142,27.643318755987135]}"
1328,1,30,3.246016025543213,2.129081010818481,26,"{""type"":""Point"",""coordinates"":[85.32513540561406,27.64282151352656]}"
1366,2,40,4.243783473968506,12.305274963378906,23,"{""type"":""Point"",""coordinates"":[85.42138367730759,27.657865987004264]}"
1692,4,30,4.612148761749268,27.747312545776367,24,"{""type"":""Point"",""coordinates"":[85.36059283603043,27.789797711429056]}"
1792,4,10,4.29292631149292,14.134910583496094,28,"{""type"":""Point"",""coordinates"":[85.25402493876085,27.809226040859077]}"
1545,3,10,4.612148761749268,26.86424446105957,23,"{""type"":""Point"",""coordinates"":[85.37819629407052,27.76791245248801]}"
1340,1,50,4.243783473968506,3.8491485118865967,27,"{""type"":""Point"",""coordinates"":[85.43278464015376,27.6728405830209]}"
1400,2,10,5.165729999542236,32.49064636230469,25,"{""type"":""Point"",""coordinates"":[85.52349260596534,27.897656775738234]}"
1318,1,10,3.246016025543213,5.583404064178467,29,"{""type"":""Point"",""coordinates"":[85.32897423948285,27.648187585134927]}"
1902,4,10,4.532809257507324,21.214975357055664,25,"{""type"":""Point"",""coordinates"":[85.32972041374572,27.81248121228613]}"
1336,1,40,4.195834636688232,2.1294682025909424,26,"{""type"":""Point"",""coordinates"":[85.41318936446861,27.724948873926525]}"
1093,1,40,4.66023588180542,22.53683280944824,26,"{""type"":""Point"",""coordinates"":[85.21132751737379,27.774131186971807]}"
1086,1,10,4.612339019775391,18.914066314697266,23,"{""type"":""Point"",""coordinates"":[85.58705332284245,27.781777385642894]}"
1815,4,10,3.9062464237213135,21.338605880737305,28,"{""type"":""Point"",""coordinates"":[85.53795080994536,27.67324525364305]}"
1396,2,40,4.618951320648193,9.423072814941406,27,"{""type"":""Point"",""coordinates"":[85.3063046463787,27.78689101997539]}"
1395,2,30,4.532809257507324,20.55331420898437,22,"{""type"":""Point"",""coordinates"":[85.3490571362328,27.831912026379484]}"
1633,3,10,4.693136215209961,31.235456466674805,24,"{""type"":""Point"",""coordinates"":[85.40371747423839,27.891820111943794]}"
1764,4,40,3.9062464237213135,26.447221755981445,27,"{""type"":""Point"",""coordinates"":[85.53306858244481,27.671532929527814]}"
1396,2,10,4.684384346008301,22.546031951904297,25,"{""type"":""Point"",""coordinates"":[85.42871219243403,27.758836091874212]}"
2038,4,10,4.246232509613037,10.399334907531738,27,"{""type"":""Point"",""coordinates"":[85.22664603010583,27.807122694045646]}"
2241,4,10,4.699357032775879,36.68101119995117,25,"{""type"":""Point"",""coordinates"":[85.2240636850579,27.646766616493707]}"
853,1,30,3.583014726638794,36.80503082275391,26,"{""type"":""Point"",""coordinates"":[85.10043678978369,27.889141202898575]}"
807,1,30,4.71803617477417,24.921667098999023,25,"{""type"":""Point"",""coordinates"":[85.57761923788227,27.809854996673685]}"
1550,3,10,3.942606925964356,34.845890045166016,25,"{""type"":""Point"",""coordinates"":[85.2792227665629,27.629672551152176]}"
2305,4,10,4.736819744110107,6.332115173339844,24,"{""type"":""Point"",""coordinates"":[85.46642837850585,27.781885594623517]}"
1329,1,10,5.165729999542236,24.25979804992676,22,"{""type"":""Point"",""coordinates"":[85.5259602279019,27.890366499700725]}"
1205,1,30,4.432165145874023,22.43910217285156,29,"{""type"":""Point"",""coordinates"":[85.33560674721753,27.87247322049729]}"
1745,4,40,4.456511497497559,12.304144859313965,25,"{""type"":""Point"",""coordinates"":[85.45527031518779,27.634922197907468]}"
749,1,10,4.432165145874023,27.11791229248047,25,"{""type"":""Point"",""coordinates"":[85.31235026069834,27.864191900229724]}"
1500,3,10,4.29292631149292,36.162479400634766,24,"{""type"":""Point"",""coordinates"":[85.25381779997093,27.837465220283764]}"
1220,1,10,4.576202392578125,22.545440673828125,24,"{""type"":""Point"",""coordinates"":[85.21731962098313,27.73308261275258]}"
